label,type,Experiment,ItemId,Question,Condition,Correct_Answer,Question_type,group,sentence,Phrase1,Phrase2,Phrase3,Phrase4,Phrase5,Phrase6,Phrase7,Phrase8,Phrase9,Phrase10,Phrase11,Phrase12,Phrase13,Phrase14,alternative
rc_a_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗?,a,1,1,list1,那个 昨晚 揍了 服务生 一顿 的 顾客 听说过 老板 并且 记得 他。,那个,昨晚,揍了,服务生,一顿,的,顾客,听说过,老板,并且,记得,他。,,,X-X-X 毁灭 眉毛 交响曲 憧憬 种 繁荣 葡萄牙 塑料 矛盾 辐射 种。
rc_b_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,b,1,1,list2,那个 昨晚 服务生 揍了 一顿 的 顾客 听说过 老板 并且 记得 他。,那个,昨晚,服务生,揍了,一顿,的,顾客,听说过,老板,并且,记得,他。,,,X-X-X 毁灭 眉毛 交响曲 憧憬 种 繁荣 葡萄牙 塑料 矛盾 辐射 种。
rc_c_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,c,2,1,list3,老板 听说过 那个 昨晚 揍了 服务生 一顿 的 顾客 并且 通知了 记者。,老板,听说过,那个,昨晚,揍了,服务生,一顿,的,顾客,并且,通知了,记者。,,,X-X-X 芭蕾舞 矛盾 毁灭 摹仿 纯收入 荒芜 种 繁荣 阶段 叶倩倩 溶液。
rc_d_1,rc,RCs_SPR_ET,1,那个顾客听说过老板吗？,d,2,1,list4,老板 听说过 那个 昨晚 服务生 揍了 一顿 的 顾客 并且 通知了 记者。,老板,听说过,那个,昨晚,服务生,揍了,一顿,的,顾客,并且,通知了,记者。,,,X-X-X 芭蕾舞 矛盾 毁灭 摹仿 纯收入 荒芜 种 繁荣 阶段 叶倩倩 溶液。
rc_a_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,a,2,2,list1,那辆 下午 追了 摩托车 很久 的 轿车 发现了 记者 所以 停了 下来。,那辆,下午,追了,摩托车,很久,的,轿车,发现了,记者,所以,停了,下来。,,,X-X-X 欣赏 衷心 笑嘻嘻 滋味 种 弊病 卵细胞 缺乏 研究 白蚁 环境。
rc_b_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,b,1,2,list2,那辆 下午 摩托车 追了 很久 的 轿车 发现了 记者 所以 停了 下来。,那辆,下午,摩托车,追了,很久,的,轿车,发现了,记者,所以,停了,下来。,,,X-X-X 欣赏 衷心 笑嘻嘻 滋味 种 弊病 卵细胞 缺乏 研究 白蚁 环境。
rc_c_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,c,2,2,list3,记者 发现了 那辆 下午 追了 摩托车 很久 的 轿车 所以 停了 下来。,记者,发现了,那辆,下午,追了,摩托车,很久,的,轿车,所以,停了,下来。,,,X-X-X 顽固派 雌蕊 欣赏 幼虫 笑嘻嘻 滋味 种 弊病 研究 插秧 具体。
rc_d_2,rc,RCs_SPR_ET,2,摩托车追了那辆轿车吗？,d,1,2,list4,记者 发现了 那辆 下午 摩托车 追了 很久 的 轿车 所以 停了 下来。,记者,发现了,那辆,下午,摩托车,追了,很久,的,轿车,所以,停了,下来。,,,X-X-X 顽固派 雌蕊 欣赏 幼虫 笑嘻嘻 滋味 种 弊病 研究 插秧 具体。
rc_a_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,a,1,3,list1,那个 今天 打了 男孩 几次 的 女孩 看到了 校长 所以 假装 在读书。,那个,今天,打了,男孩,几次,的,女孩,看到了,校长,所以,假装,在读书。,,,X-X-X 基础 八旗 盼望 征税 种 贮藏 氯酸钾 仅仅 研究 淤泥 蒸汽机。
rc_b_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,b,2,3,list2,那个 今天 男孩 打了 几次 的 女孩 看到了 校长 所以 假装 在读书。,那个,今天,男孩,打了,几次,的,女孩,看到了,校长,所以,假装,在读书。,,,X-X-X 基础 八旗 盼望 征税 种 贮藏 氯酸钾 仅仅 研究 淤泥 蒸汽机。
rc_c_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,c,1,3,list3,校长 看到了 那个 今天 打了 男孩 几次 的 女孩 所以 上前 询问。,校长,看到了,那个,今天,打了,男孩,几次,的,女孩,所以,上前,询问。,,,X-X-X 匈牙利 矛盾 基础 篇幅 盼望 浪漫 种 贮藏 研究 纲领 杭州。
rc_d_3,rc,RCs_SPR_ET,3,女孩打了男孩吗？,d,2,3,list4,校长 看到了 那个 今天 男孩 打了 几次 的 女孩 所以 上前 询问。,校长,看到了,那个,今天,男孩,打了,几次,的,女孩,所以,上前,询问。,,,X-X-X 匈牙利 矛盾 基础 篇幅 盼望 浪漫 种 贮藏 研究 纲领 杭州。
rc_a_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,a,2,4,list1,那辆 当时 撞了 自行车 两次 的 吉普车 拦住了 警察 并且 要求 调查清楚。,那辆,当时,撞了,自行车,两次,的,吉普车,拦住了,警察,并且,要求,调查清楚。,,,X-X-X 解决 脊柱 奴隶主 嘀咕 种 怎么说 卵细胞 干燥 实践 教育 艰苦奋斗。
rc_b_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,b,2,4,list2,那辆 当时 自行车 撞了 两次 的 吉普车 拦住了 警察 并且 要求 调查清楚。,那辆,当时,自行车,撞了,两次,的,吉普车,拦住了,警察,并且,要求,调查清楚。,,,X-X-X 解决 脊柱 奴隶主 嘀咕 种 怎么说 卵细胞 干燥 实践 教育 艰苦奋斗。
